Date,Value,TradesMade,Rank
5/8/2018 12:00:00 AM,5000000,0,0
5/9/2018 12:00:00 AM,5000410.96,0,0
5/10/2018 12:00:00 AM,5000821.95,0,0
5/11/2018 12:00:00 AM,5001232.98,0,0
5/12/2018 12:00:00 AM,5001644.04,0,0
5/13/2018 12:00:00 AM,5002055.13,0,0
5/14/2018 12:00:00 AM,5002466.26,0,0
5/15/2018 12:00:00 AM,5002877.42,0,0
5/16/2018 12:00:00 AM,5003288.62,0,0
5/17/2018 12:00:00 AM,5003699.85,0,0
5/18/2018 12:00:00 AM,5017804.15142453,1,3
5/19/2018 12:00:00 AM,5018084.42142453,1,3
5/20/2018 12:00:00 AM,5018364.72142453,1,3
5/21/2018 12:00:00 AM,5015861.97035804,1,2
5/22/2018 12:00:00 AM,4959391.78494067,14,5
5/23/2018 12:00:00 AM,4972361.63506781,14,5
5/24/2018 12:00:00 AM,4935017.63308379,14,6
5/25/2018 12:00:00 AM,4891261.0977598,17,7
5/26/2018 12:00:00 AM,4891276.9177598,17,7
5/27/2018 12:00:00 AM,4891292.7377598,17,7
5/28/2018 12:00:00 AM,4879359.6765969,18,7
5/29/2018 12:00:00 AM,4893445.09423252,24,7
5/30/2018 12:00:00 AM,4931228.41395862,25,7
5/31/2018 12:00:00 AM,4951334.18281589,28,7
6/1/2018 12:00:00 AM,4965056.22993053,30,8
6/2/2018 12:00:00 AM,4965189.85582185,30,8
6/3/2018 12:00:00 AM,4964917.99582185,30,8
6/4/2018 12:00:00 AM,4902548.97711978,31,8
6/5/2018 12:00:00 AM,4961008.85868516,31,7
6/6/2018 12:00:00 AM,4930819.92528122,31,9
6/7/2018 12:00:00 AM,4994172.85549435,35,7
6/8/2018 12:00:00 AM,4960334.67922623,37,7
6/9/2018 12:00:00 AM,4954864.28329153,37,8
6/10/2018 12:00:00 AM,4954666.80235436,37,8
6/11/2018 12:00:00 AM,4973471.10323671,37,8
6/12/2018 12:00:00 AM,5025412.79677959,38,7
6/13/2018 12:00:00 AM,5001152.33834819,38,7
6/14/2018 12:00:00 AM,5042059.54103456,38,7
6/15/2018 12:00:00 AM,5004042.61613438,38,8
6/16/2018 12:00:00 AM,5003726.64613438,39,8
6/17/2018 12:00:00 AM,5002829.90136707,39,8
6/18/2018 12:00:00 AM,5039825.53249262,39,7
6/19/2018 12:00:00 AM,5096741.9310896,41,5
6/20/2018 12:00:00 AM,5172847.73661429,43,4
6/21/2018 12:00:00 AM,5087941.43537231,43,5
6/22/2018 12:00:00 AM,5144273.55707067,47,4
6/23/2018 12:00:00 AM,5144023.77707067,47,4
6/24/2018 12:00:00 AM,5143779.99565198,47,4
6/25/2018 12:00:00 AM,5040034.34416353,53,5
